ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Common Core,,,Internship Students with industry experience may petition to substitute 4 400-level elective credits in technical communication for the internship requirement.,Choose3 - 4 Credit(s).,ENG,498,Internship,1-6,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Common Core,,,Required Courses ,Choose  12 Credit(s).,ENG,474W,Research and Writing Technical Reports,4,ENG 271W or ENG 272W ,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Common Core,,,Required Courses ,Choose  12 Credit(s).,ENG,475,Editing Technical Publications,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Common Core,,,Required Courses ,Choose  12 Credit(s).,ENG,477W,"Technical Documentation,Policies, and Procedures",4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Common Core,,,Required Introductory Course ,Choose  4 Credit(s).,ENG,271W,Technical Communication,4,ENG 101 ,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Common Core,,,Required Introductory Course ,Choose  4 Credit(s).,ENG,272W,Business Communication,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Common Core,,,Required Introductory Course ,Choose  4 Credit(s).,ENG,273W,Agricultural Communication,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,466,Usability,4,ENG 271W or ENG 272W,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,467,International Technical Communication,1-4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,469,Project Management in Technical Communication,4,ENG 271W,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,471,Visual Technical Communication,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,472,Topics in Technical Communication,1-4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,473,Desktop Publishing,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,478,Technical and Scientific Literature,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,479,Rhetorical Theory Applied to Technical Documents,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,480,Proposals,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,483,Writing About Health and Medicine,4,,,,
Technical Communication,BS,Technical Communication - BS,7993,120,Undergraduate,2024-2025,Major Restricted Electives,,,Major Restricted Electives Major Common Core and Electives must total 37 credits,Choose17 - 18 Credit(s).,ENG,494,English Workshop,1-6,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Common Core,,,,,ENG,471,Visual Technical Communication,4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Common Core,,,,,ENG,475,Editing Technical Publications,4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Common Core,,,,,ENG,477W,"Technical Documentation,Policies, and Procedures",4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,466,Usability,4,ENG 271W or ENG 272W,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,469,Project Management in Technical Communication,4,ENG 271W,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,472,Topics in Technical Communication,1-4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,473,Desktop Publishing,4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,474W,Research and Writing Technical Reports,4,ENG 271W or ENG 272W ,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,477W,"Technical Documentation,Policies, and Procedures",4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,480,Proposals,4,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Common Core,,,,,ENG,571,Visual Technical Communication,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Common Core,,,,,ENG,575,Editing Technical Publications,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Common Core,,,,,ENG,667,Content Strategy,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,566,Usability,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,567,International Technical Communication,1-4,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,569,Project Management in Technical Communication,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,572,Topics in Technical Communication,1-4,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,577,"Technical Documentation, Policies, & Procedures",3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,583,Writing About Health and Medicine,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,673,Research Methods for the Technical Communicator,3,,,,
Technical Communication,GC,Technical Communication - GC,6306,20,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,674,Topics in Technical Communication,1-3,,,,
