ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,,,,ART,265W,Art As Politics,3,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,,,,MUSE,200W,Introduction to Museum Studies,4,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,,,,NPL,273,Introduction to the Nonprofit Sector,3,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,AIS,455,Museum Science and Representation,3,,,Gold,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,ANTH,414,Museology,4,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,ANTH,415,Cultural Resource Management,4,"ANTH 101, ANTH 210 or consent ",,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,ART,434,Arts Administration,3,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,ART,464,Art Museum and Exhibition Studies,3,"ART 260, ART 261",,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,MUSE,497,Internship,1-6,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,MUSE,499,Individual Study,1-6,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,NPL,473,Advanced Workshop in Nonprofit Leadership,3,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,PHIL,460,Philosophy of the Arts,3,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,RPLS,465,Event Planning and Design,3,,,,
Museum Studies,CERT,Museum Studies - CERT,201114765,15,Undergraduate,2024-2025,Major Common Core,,, ,Choose  6 Credit(s).,URBS,453,Grants Administration,3,,,,
