ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,221W,COMM 221W,Media Writing Fundamentals,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,233,COMM 233,Public Relations Principles,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,306,COMM 306,Strategic Communication Research Methods,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,315,COMM 315,"Ethics, Free Speech, and Free Press",4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,425,COMM 425,Crisis Communication,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Common Core,,,,,COMM,498,COMM 498,Internship,"1, 5, 6, 7, 8, 9, 10, 11, 12            ",,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,312,COMM 312,Professional Communication and Interviewing,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,330W,COMM 330W,Multimedia Storytelling,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,351,COMM 351,Visual Storytelling,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,353,COMM 353,Creative Advertising Principles,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,405,COMM 405,Strategic Advocacy Campaigns,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,412,COMM 412,Organizational Communication,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,430,COMM 430,Social Movements and Advocacy,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,434W,COMM 434W,Public Relations Writing,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,440,COMM 440,Special Topics,1-4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,465,COMM 465,Global Media,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,470,COMM 470,Topics in Health Communication,4,,,
Public Relations,BS,Public Relations - BS,52,120,,Undergraduate,2024-2025,Required General Education,,,,,COMM,110,COMM 110,Media and Society,4,,,Purple
