ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Emphasis Common Core,,,,,ACCT,200,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,362,FINA 362,Business Finance,3,ACCT 200,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Emphasis Common Core,,,,,FINA,460,FINA 460,Investments,3, FINA 362 ,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Emphasis Common Core,,,,,MATH,460,MATH 460,Actuarial Applications in Probability,3," (MATH 354, STATS 354, MATH 455 or STAT 455) and MATH 223",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Emphasis Common Core,,,,,MATH,461,MATH 461,Mathematical Theory of Interest,4,MATH 122 with C (2.0) or better or consent.,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,CIS,121,CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,CIS,122,CIS 122,Data Structures,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,MATH 122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,MATH,223,MATH 223,Calculus III,4,"MATH 122 with “C” (2.0) or better, or consent",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,MATH,247,MATH 247,Linear Algebra I,4,MATH 122 with “C” (2.0) or better or consent,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,154,STAT 154,Elementary Statistics,3," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,354,STAT 354,Concepts of Probability & Statistics,4, MATH 122 with C or better or consent ,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,356,STAT 356,Introduction to Programming in SAS,3, STAT 154 or instructor’s approval,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,450,STAT 450,Regression Analysis,3, MATH 354 / STAT 354 or STAT 455 with “C” (2.0) or better or consent ,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,451,STAT 451,Design and Analysis of Experiments,3, MATH 354 / STAT 354 or STAT 455 with “C” (2.0) or better or consent ,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,455,STAT 455,Theory of Statistics I,4, MATH 223 with “C” (2.0) or better or consent,,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,456,STAT 456,Theory of Statistics II,4," MATH 455, STAT 455 with “C” (2.0) or better or consent",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,457,STAT 457,"Sample Survey, Design and Analysis",3,"Either MATH/STAT 354 or both MATH 121 adn STAT 154 with ""C"" (2.0) or better, or consent.",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,458,STAT 458,Categorical Data Analysis,3,"Either MATH/STAT 354 or both MATH 121 and STAT 154 with “C” (2.0) or better, or consent.",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,459,STAT 459,Nonparametric Methods,3,"Either MATH/STAT 354 or both STAT 154 and MATH 121 with “C” (2.0) or better, or consent.",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Major Common Core,,,,,STAT,492,STAT 492,Statistics Capstone Experience,3,"STAT 457, STAT 458, STAT 459, STAT 450 (at least two of these)",,
Statistics,BS,Statistics - BS,7588,120,Actuarial Track,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,MATH 121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,
