ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Common Core,,,,,ENG,555,ENG 555,Advanced Writing Workshop,0-4,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Common Core,,,,,ENG,625,ENG 625,Seminar: Composition Theory,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Common Core,,,,,ENG,656,ENG 656,Teacher Research in the Writing Classroom,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,CW,648,CW 648,Teaching Creative Writing,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,501,ENG 501,Topics in Writing Studies,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,556,ENG 556,Writing Center Theory and Pedagogy,4,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,584,ENG 584,Teaching Grammar and Vocabulary to English Learners,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,587,ENG 587,Teaching Reading and Writing to English Learners,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,628,ENG 628,Second Language Writing,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,629,ENG 629,Second Language Literacy,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,654,ENG 654,Teaching College-Level Literature,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,655,ENG 655,Topics in Teaching Writing,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,657,ENG 657,Teaching Writing with Literature,3,,,
Teaching Writing,GC,Teaching Writing - GC,8381,18,,Graduate,2024-2025,Restricted Electives,,," Special topics courses are subject to approval based on the focus of the course when offered. Please note ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substitution for ENG 655. ENG 622 and 623 are only offered face-to-face",Choose  9 Credit(s).,ENG,676,ENG 676,Instructional Design for Technical Communicators,3,,,
